"@welsheagle true,wish my heart wasn't so broken","0"
"@ImogenD How tragic!  What's worse is that i've been told it shall rain over the next few days.....","0"
"BOARD...muh hairs curly and ugllyyy  i wanna go home!!!!","0"
"@rachmurrayX I dont know it just said &quot;coming soon&quot; i hate it when they say that","0"
"WTF, I wake up over an hour earlier and I still can't make it to work on time.  I feel you @spahkleprincess I should have stayed in bed","0"
"I think I found Kevin's stressed-out eye twitch.   He can have it back now.","0"
"i should go back to fuckin bed every1 is always busy ...i feel unwated and useless","0"
"Re-pinging @Rock_My_Star: Iheartradio----&gt; Houston, Texas----&gt; 94.5 The Buzz--- iPhone problems  http://tinyurl.com/r88ltf","0"
"In work","0"
"Obama forges his Muslim alliance against the civilized world - http://tinyurl.com/pqcops . And he didn't even drop in for a cup of tea","0"
"says is reading someone's blog. Makes me wanna think twice about trusting household helps.  http://plurk.com/p/y57cq","0"
"Bingo w/ @brucelovesyou, @patchworkrobot and Danielle. As always, no prizes","0"
"hasnt got a clue what she is doing on here!! please help  x","0"
"isPlayer Has Died! Sorry","0"
"@faulko1 Bully Birds...eat baby chicks..naughty sods!!!","0"
"@DeeBee86 i miss you toooo!!!","0"
"Lunch updates might have to wait. Twitter juice perilously low","0"
"@modwheelmood where does someone like myself obtain copies of PtP on cd &amp; vinyl? i'm nowhere near any of these shows and want them!","0"
"Its so boring in here. No one can talk and I finished my test","0"
"Just saw the new palm pre! held it in my hands! it feels so cheap and breakable","0"
"I had this ridiculous horrible dream last night. blahhh","0"
"Wtf migrane!  Seriously.","0"
"@thecrazyjogger yeah i heard about it too  allah yostur","0"
"Insomnia sucks!","0"
"I woke up with a Migraine...this is not going to be a good day","0"
"@michellough sorry i missed yo partay  thought about bringing the kiddos but didnt know if that would fly","0"
"I wana sunbathe but it's not as hot today boo","0"
"is damn sore after sunbatheing to long","0"
"says it's raining... my day seems cloudy and dull...  http://plurk.com/p/y57mx","0"
"The sun woke me at 5am   Not cool....","0"
"Teamviewer is being an asshole today! trying to help @nw306 And It Fails","0"
"@alientribe On this list: http://bit.ly/mix I'm no. 203","0"
"omg my sim is so lonely.","0"
"@philmartinez I'm checking again today cuz we don't have it here yet.","0"
"I'm so tired of my life. I want to change it.","0"
"Buen dia! con gripe  . Very usefull jQuery link: http://jquerylist.com/","0"
"@jess_dillon **gasp**!! There was a &quot;reunion&quot; gig? Nobody mentioned it to me!  I had a party at my place Oz Day.","0"
"@jaysonstreet oh. i didnt hear you say that....I recend all my flames...sorry","0"
"is not very calm and is getting more stressed as the day goes on","0"
"Senior awards today ugh... why oh why","0"
"This is your digestive system speaking - that milk wasn't fresh, sorry","0"
